sensor_id,start_DBH,end_DBH,dbh_diff
92243525,109.71,111.47,1.76
92243531,44.0,46.56,2.56
92243514,34.5,36.32,1.82
92243510,69.4,71.46,2.06
92243504,70.5,73.06,2.56
92243540,24.8,27.28,2.48
92243523,75.31,77.62,2.31
92243502,78.5,79.41,0.91
92243535,11.0,13.99,2.99
92243515,72.0,72.57,0.57
92243511,45.3,48.39,3.09
92243520,32.0,34.15,2.15
92243530,19.1,19.48,0.38
92243522,20.5,22.28,1.78
92243534,16.4,18.0,1.6
92243506,111.5,112.07,0.57
92243516,39.8,40.32,0.52
92243512,43.2,44.58,1.38
92243533,64.5,65.55,1.05
92243527,41.98,43.76,1.78
92243509,45.4,46.78,1.38
92243537,36.4,36.93,0.53
92243521,52.69,53.52,0.83
92243528,26.31,28.09,1.78
92243538,51.8,53.26,1.46
92243519,59.7,62.3,2.6
92243505,62.5,62.87,0.37
92243526,24.82,28.0,3.18
92243532,18.8,20.78,1.98
92243517,31.1,32.94,1.84
92243507,31.0,31.44,0.44
92243513,34.0,36.94,2.94
92243524,30.26,31.18,0.92
92243529,11.6,13.68,2.08
92243536,17.0,19.07,2.07
92243508,41.8,43.0,1.2
92243503,77.0,78.99,1.99
92243518,29.4,31.18,1.78
92243539,41.2,42.98,1.78
92243501,53.5,55.33,1.83
